City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,avarua,92,CK,1552351887,100,-21.21,-159.78,79.74,21.07
1,rikitea,68,PF,1552351888,100,-23.12,-134.97,77.62,12.57
2,pacific grove,1,US,1552351823,54,36.62,-121.92,64.99,9.17
3,ushuaia,40,AR,1552348800,70,-54.81,-68.31,44.6,25.28
4,namibe,8,AO,1552351888,100,-15.19,12.15,78.12,11.45
5,la ronge,75,CA,1552348800,41,55.1,-105.3,41.0,5.82
6,adrar,0,DZ,1552348800,26,27.87,-0.29,60.8,5.82
7,lebu,75,ET,1552348800,48,8.96,38.73,62.6,8.05
8,khasan,88,RU,1552351888,99,42.43,130.64,32.44,8.43
9,green river,1,US,1552348440,97,41.53,-109.47,32.0,3.36
10,barrow,44,AR,1552351888,53,-38.31,-60.23,65.56,5.41
11,kavaratti,80,IN,1552351889,96,10.57,72.64,84.55,4.18
12,mayo,75,CA,1552348800,47,63.59,-135.9,35.6,2.95
13,ballina,92,IE,1552351683,90,54.11,-9.15,46.0,8.99
14,punta arenas,20,CL,1552351390,65,-53.16,-70.91,46.4,11.41
15,garissa,0,KE,1552351889,56,-0.46,39.64,77.49,7.65
16,vaini,56,IN,1552348800,53,15.34,74.49,71.6,1.5
17,sao jose da coroa grande,92,BR,1552351889,87,-8.9,-35.15,80.05,6.87
18,kapaa,75,US,1552351701,61,22.08,-159.32,78.8,17.22
19,tuktoyaktuk,90,CA,1552348800,77,69.44,-133.03,1.4,18.34
20,caravelas,8,BR,1552351612,100,-17.73,-39.27,83.34,12.8
21,bluff,0,AU,1552351889,43,-23.58,149.07,89.41,3.85
22,mataura,0,NZ,1552351807,82,-46.19,168.86,66.0,5.01
23,invermere,0,CA,1552351610,46,50.51,-116.03,39.0,1.01
24,youghal,75,IE,1552351710,100,51.95,-7.85,51.01,36.91
25,hermanus,8,ZA,1552351661,99,-34.42,19.24,62.01,2.95
26,candido mendes,88,BR,1552351890,100,-1.45,-45.72,80.32,10.33
27,bubaque,0,GW,1552351890,96,11.28,-15.83,78.39,8.88
28,khorramabad,0,IR,1552348440,93,33.48,48.35,35.6,4.7
29,faanui,76,PF,1552351890,100,-16.48,-151.75,82.89,5.75
30,kaitangata,0,NZ,1552351731,56,-46.28,169.85,73.99,4.0
31,ribeira grande,80,PT,1552351727,100,38.52,-28.7,57.87,31.59
